state,sat_participation_17,sat_score_17,act_participation_17,act_composite_17,sat_participation_18,sat_score_18,act_participation_18,act_composite_18
Alabama,5.0,1165.0,100.0,19.2,6.0,1166.0,100.0,19.1
Alaska,38.0,1080.0,65.0,19.8,43.0,1106.0,33.0,20.8
Arizona,30.0,1116.0,62.0,19.7,29.0,1149.0,66.0,19.2
Arkansas,3.0,1208.0,100.0,19.4,5.0,1169.0,100.0,19.4
California,53.0,1055.0,31.0,22.8,60.0,1076.0,27.0,22.7
Colorado,11.0,1201.0,100.0,20.8,100.0,1025.0,30.0,23.9
Connecticut,100.0,1041.0,31.0,25.2,100.0,1053.0,26.0,25.6
Delaware,100.0,996.0,18.0,24.1,100.0,998.0,17.0,23.8
District of Columbia,100.0,950.0,32.0,24.2,92.0,977.0,32.0,23.6
Florida,83.0,1017.0,73.0,19.8,56.0,1099.0,66.0,19.9
Georgia,61.0,1050.0,55.0,21.4,70.0,1064.0,53.0,21.4
Hawaii,55.0,1085.0,90.0,19.0,56.0,1010.0,89.0,18.9
Idaho,93.0,1005.0,38.0,22.3,100.0,1001.0,36.0,22.3
Illinois,9.0,1115.0,93.0,21.4,99.0,1019.0,43.0,23.9
Indiana,63.0,1074.0,35.0,22.6,63.0,1074.0,32.0,22.5
Iowa,2.0,1275.0,67.0,21.9,3.0,1265.0,68.0,21.8
Kansas,4.0,1260.0,73.0,21.7,4.0,1265.0,71.0,21.6
Kentucky,4.0,1247.0,100.0,20.0,4.0,1248.0,100.0,20.2
Louisiana,4.0,1198.0,100.0,19.5,4.0,1210.0,100.0,19.2
Maine,95.0,1012.0,8.0,24.3,99.0,1013.0,7.0,24.0
Maryland,69.0,1060.0,28.0,23.6,76.0,1080.0,31.0,22.5
Massachusetts,76.0,1107.0,29.0,25.4,80.0,1125.0,25.0,25.5
Michigan,100.0,1005.0,29.0,24.1,100.0,1011.0,22.0,24.2
Minnesota,3.0,1295.0,100.0,21.5,4.0,1298.0,99.0,21.3
Mississippi,2.0,1242.0,100.0,18.6,3.0,1236.0,100.0,18.6
Missouri,3.0,1271.0,100.0,20.4,4.0,1262.0,100.0,20.0
Montana,10.0,1196.0,100.0,20.3,10.0,1198.0,100.0,20.0
Nebraska,3.0,1253.0,84.0,21.4,3.0,1252.0,100.0,20.1
Nevada,26.0,1116.0,100.0,17.8,23.0,1140.0,100.0,17.7
New Hampshire,96.0,1052.0,18.0,25.5,96.0,1063.0,16.0,25.1
New Jersey,70.0,1056.0,34.0,23.9,82.0,1094.0,31.0,23.7
New Mexico,11.0,1138.0,66.0,19.7,16.0,1093.0,67.0,19.4
New York,67.0,1052.0,31.0,24.2,79.0,1068.0,27.0,24.5
North Carolina,49.0,1081.0,100.0,19.1,52.0,1098.0,100.0,19.1
North Dakota,2.0,1256.0,98.0,20.3,2.0,1283.0,98.0,20.3
Ohio,12.0,1149.0,75.0,22.0,18.0,1099.0,100.0,20.3
Oklahoma,7.0,1047.0,100.0,19.4,8.0,1062.0,100.0,19.3
Oregon,43.0,1108.0,40.0,21.8,48.0,1117.0,42.0,21.3
Pennsylvania,65.0,1071.0,23.0,23.7,70.0,1086.0,20.0,23.5
Rhode Island,71.0,1062.0,21.0,24.0,97.0,1018.0,15.0,24.2
South Carolina,50.0,1064.0,100.0,18.7,55.0,1070.0,100.0,18.3
South Dakota,3.0,1216.0,80.0,21.8,3.0,1240.0,77.0,21.9
Tennessee,5.0,1228.0,100.0,19.8,6.0,1231.0,100.0,19.6
Texas,62.0,1020.0,45.0,20.7,66.0,1032.0,45.0,20.7
Utah,3.0,1238.0,100.0,20.3,4.0,1010.0,100.0,20.4
Vermont,60.0,1114.0,29.0,23.6,64.0,1120.0,24.0,24.1
Virginia,65.0,1102.0,29.0,23.8,68.0,1117.0,24.0,23.9
Washington,64.0,1075.0,29.0,21.9,69.0,1081.0,24.0,22.2
West Virginia,14.0,1086.0,69.0,20.4,28.0,999.0,65.0,20.3
Wisconsin,3.0,1291.0,100.0,20.5,3.0,1294.0,100.0,20.5
Wyoming,3.0,1230.0,100.0,20.2,3.0,1257.0,100.0,20.0
